Band	Description
[12.42, 12.45] Hz 	Pulsar injection
[15.73, 15.89] Hz 	V1 WE EM calibration line
[16.23, 16.39] Hz 	V1 BS EM calibration line
[16.73, 16.89] Hz 	V1 NE EM calibration line
[16.58, 17.61] Hz 	H1 calibration line
[17.08, 18.11] Hz 	H1 calibration line
[19.98, 20.02] Hz 	Comb with fundamental freq 20 and spacing 1
[20.98, 21.02] Hz 	Comb with fundamental freq 20 and spacing 1
[21.98, 22.02] Hz 	Comb with fundamental freq 20 and spacing 1
[22.98, 23.02] Hz 	Comb with fundamental freq 20 and spacing 1
[23.98, 24.02] Hz 	Comb with fundamental freq 20 and spacing 1
[23.92, 24.08] Hz 	1Hz comb with larger bin width since in coh spectra adjecent bins where also loud lines.
[24.98, 25.02] Hz 	Comb with fundamental freq 20 and spacing 1
[24.92, 25.08] Hz 	1Hz comb with larger bin width since in coh spectra adjecent bins where also loud lines.
[25.98, 26.02] Hz 	Comb with fundamental freq 20 and spacing 1
[25.92, 26.08] Hz 	1Hz comb with larger bin width since in coh spectra adjecent bins where also loud lines.
[26.17, 26.20] Hz 	H: Input Mode Cleaner pitch mode - V: WEB_MAG_V
[26.33, 26.36] Hz 	Pulsar injection
[26.98, 27.02] Hz 	Comb with fundamental freq 20 and spacing 1
[26.92, 27.08] Hz 	1Hz comb with larger bin width since in coh spectra adjecent bins where also loud lines.
[27.98, 28.02] Hz 	Comb with fundamental freq 20 and spacing 1
[27.92, 28.08] Hz 	1Hz comb with larger bin width since in coh spectra adjecent bins where also loud lines.
[28.92, 29.08] Hz 	V1 calibration line
[28.98, 29.02] Hz 	Comb with fundamental freq 20 and spacing 1
[29.98, 30.02] Hz 	Comb with fundamental freq 20 and spacing 1
[30.92, 31.08] Hz 	V1 calibration line
[30.98, 31.02] Hz 	Comb with fundamental freq 20 and spacing 1
[31.42, 31.45] Hz 	Pulsar injection
[31.42, 31.58] Hz 	V1 calibration line
[31.52, 31.67] Hz 	V1 second order harmonic of calibration line at 15.8 - identified by CW people
[31.98, 32.02] Hz 	Comb with fundamental freq 20 and spacing 1
[31.92, 32.08] Hz 	1Hz comb with larger bin width since in coh spectra adjecent bins where also loud lines.
[32.42, 32.58] Hz 	V1 calibration line
[32.52, 32.67] Hz 	V1 second order harmonic of calibration line at 16.3 - identified by CW people
[32.98, 33.02] Hz 	Comb with fundamental freq 20 and spacing 1
[32.92, 33.08] Hz 	1Hz comb with larger bin width since in coh spectra adjecent bins where also loud lines.
[33.17, 33.20] Hz 	Calibration line nonlinearity
[33.42, 33.58] Hz 	Unknown 0.5Hz comb; probably digital; not all comb teeth may be visible
[33.52, 33.67] Hz 	V1 second order harmonic of calibration line at 16.8 - identified by CW people
[33.98, 34.02] Hz 	Comb with fundamental freq 20 and spacing 1
[33.92, 34.08] Hz 	1Hz comb with larger bin width since in coh spectra adjecent bins where also loud lines.
[34.11, 34.27] Hz 	Calibration line non-linearity (Hanford, central freq rounded to nearest 1/32)
[34.42, 34.58] Hz 	V1 WE PCAL calibration line
[34.98, 35.02] Hz 	Comb with fundamental freq 20 and spacing 1
[34.92, 35.08] Hz 	1Hz comb with larger bin width since in coh spectra adjecent bins where also loud lines.
[35.98, 36.02] Hz 	Comb with fundamental freq 20 and spacing 1
[36.42, 36.58] Hz 	V1 NE PCAL calibration line
[36.98, 37.02] Hz 	Comb with fundamental freq 20 and spacing 1
[37.42, 37.58] Hz 	V1 NE EM calibration line
[37.61, 37.83] Hz 	Pulsar injection
[37.98, 38.02] Hz 	Comb with fundamental freq 20 and spacing 1
[38.98, 39.02] Hz 	Comb with fundamental freq 20 and spacing 1
[39.98, 40.02] Hz 	Comb with fundamental freq 20 and spacing 1
[40.98, 41.02] Hz 	Comb with fundamental freq 20 and spacing 1
[41.98, 42.02] Hz 	Comb with fundamental freq 20 and spacing 1
[42.98, 43.02] Hz 	Comb with fundamental freq 20 and spacing 1
[43.98, 44.02] Hz 	Comb with fundamental freq 20 and spacing 1
[44.98, 45.02] Hz 	Comb with fundamental freq 20 and spacing 1
[45.98, 46.02] Hz 	Comb with fundamental freq 20 and spacing 1
[46.98, 47.02] Hz 	Comb with fundamental freq 20 and spacing 1
[47.98, 48.02] Hz 	Comb with fundamental freq 20 and spacing 1
[45.98, 51.02] Hz 	V to large calib error due to active damping of 48hz mechanical resonance - advise to notch 46-51Hz region
[48.98, 49.02] Hz 	Comb with fundamental freq 20 and spacing 1
[49.89, 50.11] Hz 	Power Lines
[49.98, 50.02] Hz 	Comb with fundamental freq 20 and spacing 1
[49.42, 50.58] Hz 	Virgo calibration: bad sensitivity in this segment -> advise to remove from analysis
[50.98, 51.02] Hz 	Comb with fundamental freq 20 and spacing 1
[51.98, 52.02] Hz 	Comb with fundamental freq 20 and spacing 1
[52.80, 52.83] Hz 	Pulsar injection
[52.98, 53.02] Hz 	Comb with fundamental freq 20 and spacing 1
[53.98, 54.02] Hz 	Comb with fundamental freq 20 and spacing 1
[54.98, 55.02] Hz 	Comb with fundamental freq 20 and spacing 1
