Band	Description
[12.42, 12.45] Hz 	Pulsar injection
[15.73, 15.89] Hz 	V1 WE EM calibration line
[16.23, 16.39] Hz 	V1 BS EM calibration line
[16.73, 16.89] Hz 	V1 NE EM calibration line
[26.33, 26.36] Hz 	Pulsar injection
[28.92, 29.08] Hz 	V1 calibration line
[29.73, 29.89] Hz 	line in zero lag run - witness in Seis an ACC @ Virgo, witness in HPI-HAM3_BLND_L4C_Y_IN1 @ L
[30.92, 31.08] Hz 	V1 calibration line
[31.42, 31.45] Hz 	Pulsar injection
[31.42, 31.58] Hz 	V1 calibration line
[31.52, 31.67] Hz 	V1 second order harmonic of calibration line at 15.8 - identified by CW people
[31.98, 32.02] Hz 	Seen in time shifted run; comb or cal non-linearity?
[31.92, 32.08] Hz 	1Hz comb; probably digital; not all comb teeth may be visible
[32.42, 32.58] Hz 	V1 calibration line
[32.52, 32.67] Hz 	V1 second order harmonic of calibration line at 16.3 - identified by CW people
[33.52, 33.67] Hz 	V1 second order harmonic of calibration line at 16.8 - identified by CW people
[33.98, 34.02] Hz 	Seen in time shifted run; comb or cal non-linearity?
[33.92, 34.08] Hz 	1Hz comb; probably digital; not all comb teeth may be visible
[34.42, 34.58] Hz 	V1 WE PCAL calibration line
[34.92, 35.08] Hz 	1Hz comb; probably digital; not all comb teeth may be visible
[35.92, 36.08] Hz 	1Hz comb; probably digital; not all comb teeth may be visible
[36.42, 36.58] Hz 	V1 NE PCAL calibration line
[37.42, 37.58] Hz 	V1 NE EM calibration line
[37.61, 37.83] Hz 	Pulsar injection
[39.92, 40.08] Hz 	1Hz comb in V and 10Hz comb in L
[45.98, 51.02] Hz 	V to large calib error due to active damping of 48hz mechanical resonance - advise to notch 46-51Hz region
[49.89, 50.11] Hz 	Power Lines
[49.42, 50.58] Hz 	Virgo calibration: bad sensitivity in this segment -> advise to remove from analysis
[52.80, 52.83] Hz 	Pulsar injection
[56.42, 56.58] Hz 	V1 WE EM calibration line
[59.89, 60.11] Hz 	Power Lines
[60.42, 60.58] Hz 	V1 WE PCAL calibration line
[60.92, 61.08] Hz 	V1 BS EM calibration line
[61.42, 61.58] Hz 	V1 WE EM calibration line
[62.42, 62.58] Hz 	V1 NE EM calibration line
[62.92, 63.08] Hz 	V1 PR EM calibration line
[63.42, 63.58] Hz 	V1 NE PCAL calibration line
[71.23, 71.27] Hz 	L: Input Mode Cleaner yaw mode - V: F7 crossbar mechanical mode
[77.42, 77.58] Hz 	V1 NE EM calibration line
[87.02, 87.17] Hz 	SDB1 OMC
[99.89, 100.11] Hz 	Power Lines
[106.42, 106.58] Hz 	V1 WE EM calibration line
[107.42, 107.58] Hz 	V1 NE EM calibration line
[108.83, 108.86] Hz 	Pulsar injection
[119.89, 120.11] Hz 	Power Lines
[120.92, 121.08] Hz 	V1 second order harmonic of calibration line at 60.5 - identified by CW people
[121.92, 122.08] Hz 	V1 second order harmonic of calibration line at 61 - identified by CW people
[122.92, 123.08] Hz 	V1 second order harmonic of calibration line at 61.5 - identified by CW people
[124.92, 125.08] Hz 	V1 second order harmonic of calibration line at 62.5 - identified by CW people
[125.92, 126.08] Hz 	V1 second order harmonic of calibration line at 63 - identified by CW people
[126.92, 127.08] Hz 	V1 second order harmonic of calibration line at 63.5 - identified by CW people
[137.42, 137.58] Hz 	V1 NE EM calibration line
[145.20, 145.48] Hz 	Pulsar injection
[149.89, 150.11] Hz 	Power Lines
[179.89, 180.11] Hz 	Power Lines
[181.42, 181.58] Hz 	V1 third order harmonic of calibration line at 60.5 - identified by CW people
[182.92, 183.08] Hz 	V1 third order harmonic of calibration line at 61 - identified by CW people
[184.42, 184.58] Hz 	V1 third order harmonic of calibration line at 61.5 - identified by CW people
[187.42, 187.58] Hz 	V1 third order harmonic of calibration line at 62.5 - identified by CW people
[188.92, 189.08] Hz 	V1 third order harmonic of calibration line at 63 - identified by CW people
[189.80, 190.14] Hz 	Pulsar injection
[190.42, 190.58] Hz 	V1 third order harmonic of calibration line at 63.5 - identified by CW people
[199.89, 200.11] Hz 	Power Lines
[206.42, 206.58] Hz 	V1 WE EM calibration line
[234.52, 234.61] Hz 	Pulsar injection
[239.89, 240.11] Hz 	Power Lines
[249.89, 250.11] Hz 	Power Lines
[265.52, 265.61] Hz 	Pulsar injection
[274.98, 281.02] Hz 	BS Violin mode 1st harmonic
[299.89, 300.11] Hz 	Power Lines
[299.89, 300.11] Hz 	Power Lines
[349.89, 350.11] Hz 	Power Lines
[355.42, 355.58] Hz 	V1 WE PCAL calibration line
[355.92, 356.08] Hz 	V1 BS EM calibration line
[356.42, 356.58] Hz 	V1 WE EM calibration line
[357.42, 357.58] Hz 	V1 NE EM calibration line
[357.92, 358.08] Hz 	V1 PR EM calibration line
[359.42, 359.58] Hz 	V1 NE PCALcalibration line
[359.89, 360.11] Hz 	Power Lines
[399.89, 400.11] Hz 	Power Lines
[406.42, 406.58] Hz 	V1 WE EM calibration line
[419.89, 420.11] Hz 	Power Lines
[434.39, 435.42] Hz 	L1 calibration line
